,order_status,payment_type,customer_state,seller_state
order_status,1.0,0.03740946039676679,0.03002562239182962,0.03161365364937119
payment_type,0.03740946039676679,1.0,0.03630490432907286,0.02508648596521286
customer_state,0.03002562239182962,0.03630490432907286,1.0,0.055492827121664604
seller_state,0.03161365364937119,0.02508648596521286,0.055492827121664604,1.0
